Id,Starttime,#Flows,#Packets,#Srcaddr,#Dstaddr,#Bytes,#labels,#UDPUniqEst,#UDPUniqInt,#UDPTotEstFlow,#UDPTotIntFlow,#NewEstUDPCCIP,TotEstUDPCCIP,#NewIntUDPCCIP,TotIntUDPCCIP,TCPCCFlow,TCPCCBytes,WebFlows,GoogleFlows,CCHTTPBytes,CCHTTPFlow,CCHTTP69Flows,CCHTTO69Bytes,TCPCC67FLows,TCPCC62Flows,TCPCC70Flows,TCPCC71Flows,TCPCC80Flows,UDPCCNewEstBytes,WEBBytes,GoogleBytes,SSLGoogleFLows,SSLGoogleBytes,EstDNSFlows,EstDNSBytes,TCPCustEncFlows,TCPCustEncBytes,UDPEstBytes
10,3000,331,1328,2,59,275112,5,0,0,0,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,17404,0,0,0
11,3300,296,1147,2,61,252078,5,0,0,0,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,14352,0,0,0
12,3600,277,966,2,54,151305,5,0,0,0,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,12646,0,0,0
13,3900,271,1107,2,55,287589,6,0,0,0,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,11773,0,0,0
14,4200,293,1212,2,55,276028,6,0,0,0,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,15126,0,0,0
15,4500,335,1610,2,99,595787,9,10,27,11,27,3,10,12,57,0,0,0,3,0,0,0,0,0,0,0,0,0,2477,0,61680,1,57865,76,13356,0,0,9980
16,4800,373,1253,3,120,241924,7,21,42,21,42,21,31,41,98,0,0,0,0,0,0,0,0,0,0,0,0,0,16232,0,0,0,0,88,15902,0,0,16232
17,5100,324,1128,2,96,252453,7,13,33,13,33,13,44,33,131,0,0,0,0,0,0,0,0,0,0,0,0,0,9829,0,0,0,0,72,12762,0,0,9829
18,5400,295,1152,2,50,246445,5,0,0,0,0,0,44,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15266,0,0,0
19,5700,277,1108,2,51,286156,5,0,0,0,0,0,44,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,12790,0,0,0
20,6000,290,1140,2,48,235229,5,0,0,0,0,0,44,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,15167,0,0,0
21,6300,259,991,3,47,227578,5,0,0,0,0,0,44,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,11690,0,0,0
22,6600,279,979,1,43,165039,5,0,0,0,0,0,44,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,15022,0,0,0
23,6900,312,1509,2,96,628496,9,41,4,41,4,1,45,4,135,0,0,0,11,0,0,0,0,0,0,0,0,0,366,0,301193,3,209820,68,12060,0,0,15455
24,7200,286,1207,2,51,313159,5,0,0,0,0,0,45,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15377,0,0,0
25,7500,256,1012,4,48,257374,5,0,0,0,0,0,45,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,11582,0,0,0
26,7800,283,1076,2,47,221839,5,0,0,0,0,0,45,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,14442,0,0,0
27,8100,252,934,3,50,197964,5,0,0,0,0,0,45,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,11714,0,0,0
28,8400,277,1061,3,49,235761,5,0,0,0,0,0,45,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,14135,0,0,0
29,8700,248,1038,2,51,272895,5,0,0,0,0,0,45,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,12194,0,0,0
30,9000,338,1727,2,94,649532,9,37,8,37,8,0,45,5,140,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,419153,6,301372,79,14355,0,0,13965
31,9300,240,949,3,42,242682,5,0,0,0,0,0,45,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11076,0,0,0
32,9600,260,919,1,39,147239,6,0,0,0,0,0,45,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,13036,0,0,0
33,9900,241,982,2,45,259683,5,0,0,0,0,0,45,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11242,0,0,0
34,10200,294,1083,2,45,226148,6,0,0,0,0,0,45,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,14656,0,0,0
35,10500,235,916,2,45,233742,5,0,0,0,0,0,45,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,10906,0,0,0
36,10800,300,1482,5,81,680278,9,32,8,32,8,0,45,5,145,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,479584,5,301956,56,10036,0,0,12101
37,11100,259,1209,3,44,386998,8,1,1,1,1,0,45,1,146,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,145663,0,0,70,12872,0,0,416
38,11400,249,963,2,47,228887,6,0,0,0,0,0,45,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,11429,0,0,0
39,11700,269,955,1,43,138269,6,0,0,0,0,0,45,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,13790,0,0,0
40,12000,229,871,2,39,223511,6,0,0,0,0,0,45,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9827,0,0,0
41,12300,278,1038,2,46,218854,6,0,0,0,0,0,45,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,14160,0,0,0
42,12600,229,805,1,38,169614,6,0,0,0,0,0,45,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9995,0,0,0
43,12900,308,1411,2,81,498831,10,34,5,34,5,0,45,1,147,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,312322,3,141378,73,13350,0,0,14134
44,13200,229,784,2,37,129512,6,0,0,0,0,0,45,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9964,0,0,0
45,13500,259,898,2,39,126541,5,0,0,0,0,0,45,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,12868,0,0,0
46,13800,236,832,2,39,172349,6,0,0,0,0,0,45,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10290,0,0,0
47,14100,262,905,2,41,138800,6,0,0,0,0,0,45,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,13850,0,0,0
48,14400,234,805,2,40,172375,6,0,0,0,0,0,45,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9702,0,0,0
49,14700,295,1211,1,74,318615,10,32,3,32,3,0,45,2,149,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,139999,3,128554,72,13194,0,0,12369
50,15000,240,894,2,41,224061,6,0,0,0,0,0,45,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10178,0,0,0
51,15300,257,981,3,42,208176,7,0,0,0,0,0,45,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,13344,0,0,0
52,15600,225,886,2,40,213993,6,0,0,0,0,0,45,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10126,0,0,0
53,15900,264,971,2,41,201424,6,0,0,0,0,0,45,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,13496,0,0,0
54,16200,224,882,2,44,206912,7,0,0,0,0,0,45,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,10900,0,0,0
55,16500,269,1189,2,76,422987,10,30,4,30,4,0,45,2,151,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,209330,3,118318,56,10100,0,0,11440
56,16800,244,854,3,37,127908,6,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,12150,0,0,0
57,17100,235,936,3,38,276881,6,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10028,0,0,0
58,17400,257,894,2,41,126596,6,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,12842,0,0,0
59,17700,219,946,2,38,290237,6,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9778,0,0,0
60,18000,264,932,3,43,160111,7,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,13846,0,0,0
61,18300,218,824,3,36,207377,6,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,9658,0,0,0
62,18600,285,1098,2,72,296871,10,31,1,31,1,0,45,0,151,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,73719,1,69904,68,12440,0,0,11505
63,18900,232,782,2,38,144591,6,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,9468,0,0,0
64,19200,251,949,2,37,185634,6,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,12652,0,0,0
65,19500,224,914,1,39,261753,6,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10272,0,0,0
66,19800,244,865,2,40,129163,6,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,12784,0,0,0
67,20100,222,710,3,31,118413,6,0,0,0,0,0,45,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8590,0,0,0
68,20400,284,1548,2,70,638257,10,30,1,30,1,0,45,1,152,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,73773,1,69958,70,12832,0,0,12172
69,20700,223,899,4,43,270112,7,0,0,0,0,0,45,0,152,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,148655,0,0,51,9280,0,0,0
70,21000,241,902,2,35,179965,6,0,0,0,0,0,45,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,12512,0,0,0
71,21300,207,678,2,32,101115,6,0,0,0,0,0,45,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8756,0,0,0
72,21600,254,925,1,35,160642,6,0,0,0,0,0,45,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,12824,0,0,0
73,21900,226,759,3,35,143058,7,0,0,0,0,0,45,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10072,0,0,0
74,22200,279,1182,2,69,347764,10,27,4,27,4,0,45,2,154,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,185215,3,93250,65,12008,0,0,10580
75,22500,224,778,2,35,148644,6,0,0,0,0,0,45,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,9606,0,0,0
76,22800,223,903,2,40,254606,6,0,0,0,0,0,45,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9730,0,0,0
77,23100,253,984,2,36,237446,6,0,0,0,0,0,45,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,12696,0,0,0
78,23400,211,718,2,33,152566,6,0,0,0,0,0,45,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8982,0,0,0
79,23700,245,864,2,37,128941,6,0,0,0,0,0,45,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,12586,0,0,0
80,24000,239,980,2,68,341746,9,28,2,28,2,0,45,0,154,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,158606,0,0,50,9096,0,0,10900
81,24300,238,877,3,33,144558,6,0,0,0,0,0,45,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,12936,0,0,0
82,24600,214,704,1,34,101742,6,0,0,0,0,0,45,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,9604,0,0,0
83,24900,236,818,2,31,133594,6,0,0,0,0,0,45,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,11988,0,0,0
84,25200,219,856,4,39,221603,6,0,0,0,0,0,45,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9874,0,0,0
85,25500,240,903,2,37,181972,6,0,0,0,0,0,45,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,12696,0,0,0
86,25800,256,879,3,69,192177,10,27,1,27,1,0,45,1,155,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,39480,1,35665,52,9422,0,0,10070
87,26100,240,991,3,35,239706,6,0,0,0,0,0,45,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,12166,0,0,0
88,26400,209,739,3,34,139979,6,0,0,0,0,0,45,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9112,0,0,0
89,26700,232,893,2,34,189241,6,0,0,0,0,0,45,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,11966,0,0,0
90,27000,220,849,2,35,196874,6,0,0,0,0,0,45,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,9442,0,0,0
91,27300,240,914,2,34,179216,6,0,0,0,0,0,45,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,11878,0,0,0
92,27600,244,1010,1,62,320471,10,24,3,24,3,0,45,2,157,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,101866,2,94236,52,9468,0,0,9272
93,27900,271,1436,2,42,585276,10,1,0,1,0,0,45,0,157,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,295329,5,276254,68,12558,0,0,315
94,28200,218,877,2,38,260468,8,0,0,0,0,0,45,0,157,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,73719,1,69904,51,9274,0,0,0
95,28500,227,997,2,40,346226,8,0,0,0,0,0,45,0,157,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,188333,3,176888,49,8884,0,0,0
96,28800,258,1101,3,38,309786,8,0,0,0,0,0,45,0,157,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,152378,4,137118,64,11860,0,0,0
97,29100,218,761,2,35,142217,8,0,0,0,0,0,45,0,157,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,40841,1,37026,49,8892,0,0,0
98,29400,258,967,2,32,215090,6,0,0,0,0,0,45,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,13872,0,0,0
99,29700,262,1375,1,60,616418,10,20,3,20,3,0,45,1,158,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,454209,3,125679,49,8916,0,0,45798
100,30000,249,1072,3,42,308936,8,0,0,0,0,0,45,0,158,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,82336,1,78521,66,12170,0,0,0
101,30300,214,711,2,33,134885,7,0,0,0,0,0,45,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9622,0,0,0
102,30600,230,772,1,30,109075,6,0,0,0,0,0,45,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,11374,0,0,0
103,30900,201,695,2,34,135429,6,0,0,0,0,0,45,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9112,0,0,0
104,31200,245,841,3,36,128493,7,0,0,0,0,0,45,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,13102,0,0,0
105,31500,280,979,3,83,280444,9,25,27,25,27,2,47,12,170,0,0,0,2,0,0,0,0,0,0,0,0,0,1600,0,79832,0,0,50,9104,0,0,28121
106,31800,283,916,2,89,166037,8,14,42,14,42,14,61,38,208,0,0,0,0,0,0,0,0,0,0,0,0,0,11214,0,0,0,0,64,11844,0,0,11214
107,32100,257,862,3,77,230936,8,8,34,8,34,8,69,34,242,0,0,0,0,0,0,0,0,0,0,0,0,0,6191,0,0,0,0,52,9446,0,0,6191
108,32400,227,848,2,32,177748,6,0,0,0,0,0,69,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11664,0,0,0
109,32700,205,783,1,31,187653,6,0,0,0,0,0,69,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9173,0,0,0
110,33000,236,875,3,35,177658,6,0,0,0,0,0,69,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,12211,0,0,0
111,33300,214,813,4,36,190459,6,0,0,0,0,0,69,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,9416,0,0,0
112,33600,232,856,2,32,147247,6,0,0,0,0,0,69,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11680,0,0,0
113,33900,262,939,2,86,231621,10,47,1,47,1,0,69,1,243,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,57260,1,53445,52,9408,0,0,18535
114,34200,212,767,2,33,171824,6,0,0,0,0,0,69,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9868,0,0,0
115,34500,224,785,2,31,121889,7,0,0,0,0,0,69,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11630,0,0,0
116,34800,218,766,2,38,149662,7,0,0,0,0,0,69,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10540,0,0,0
117,35100,223,766,2,28,116155,6,0,0,0,0,0,69,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11490,0,0,0
118,35400,214,746,2,37,143174,6,0,0,0,0,0,69,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,9554,0,0,0
119,35700,236,748,1,31,66939,6,0,0,0,0,0,69,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,11852,0,0,0
120,36000,271,1143,2,83,461890,10,44,4,44,4,0,69,2,245,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,279590,2,113922,51,9184,0,0,17739
121,36300,246,965,4,35,226944,6,0,0,0,0,0,69,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,12294,0,0,0
122,36600,202,684,2,32,126331,6,0,0,0,0,0,69,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8778,0,0,0
123,36900,229,846,3,33,180590,6,0,0,0,0,0,69,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,11882,0,0,0
124,37200,212,711,3,35,136938,6,0,0,0,0,0,69,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8896,0,0,0
125,37500,232,819,1,28,142651,6,0,0,0,0,0,69,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11672,0,0,0
126,37800,262,1113,2,79,362306,10,42,5,42,5,0,69,2,247,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,232861,4,162114,47,8570,0,0,17398
127,38100,232,858,2,30,167981,7,0,0,0,0,0,69,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,12504,0,0,0
128,38400,200,701,2,31,131359,6,0,0,0,0,0,69,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8612,0,0,0
129,38700,226,821,2,29,158299,6,0,0,0,0,0,69,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,12188,0,0,0
130,39000,196,711,3,31,131231,6,0,0,0,0,0,69,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8620,0,0,0
131,39300,233,856,2,32,172172,6,0,0,0,0,0,69,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,11802,0,0,0
132,39600,248,1126,2,76,512108,10,40,5,40,5,0,69,2,249,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,390326,1,69850,46,8438,0,0,15574
133,39900,199,675,2,30,125126,6,0,0,0,0,0,69,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,9602,0,0,0
134,40200,241,863,4,30,139520,7,0,0,0,0,0,69,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,12743,0,0,0
135,40500,201,701,2,29,130540,6,0,0,0,0,0,69,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8800,0,0,0
136,40800,233,935,2,34,221502,6,0,0,0,0,0,69,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,12046,0,0,0
137,41100,197,615,2,26,88855,6,0,0,0,0,0,69,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,8094,0,0,0
138,41400,230,790,2,29,101415,6,0,0,0,0,0,69,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11757,0,0,0
139,41700,256,1063,2,75,390050,10,40,3,40,3,0,69,1,250,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,199714,1,37422,58,11239,0,0,15881
140,42000,232,780,2,28,116110,5,0,0,0,0,0,69,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,11040,0,0,0
141,42300,192,654,3,29,124473,6,0,0,0,0,0,69,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8590,0,0,0
142,42600,226,863,3,34,176559,6,0,0,0,0,0,69,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11724,0,0,0
143,42900,199,679,2,30,117042,6,0,0,0,0,0,69,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8928,0,0,0
144,43200,226,918,2,29,224790,6,0,0,0,0,0,69,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11536,0,0,0
145,43500,235,1096,2,72,398665,10,38,3,38,3,0,69,1,251,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,162595,3,151150,46,8414,0,0,14967
146,43800,241,856,2,29,129540,6,0,0,0,0,0,69,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,13370,0,0,0
147,44100,2604,15290,8,346,6077662,7,0,1,0,1,0,69,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,144018,0,0,0
148,44400,1891,9928,15,224,3703286,6,0,0,0,0,0,69,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,87398,0,0,0
149,44700,601,2429,2,113,562862,6,0,0,0,0,0,69,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,29510,0,0,0
150,45000,601,2289,2,97,432288,6,0,0,0,0,0,69,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,34012,0,0,0
151,45300,560,2187,3,134,558775,9,39,1,39,1,0,69,0,251,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,73599,1,69794,142,25630,0,0,15640
152,45600,533,2041,1,81,379397,5,0,0,0,0,0,69,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,29213,0,0,0
153,45900,485,1753,3,84,322185,6,0,0,0,0,0,69,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,24535,0,0,0
154,46200,491,1840,3,83,374227,6,0,0,0,0,0,69,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,24858,0,0,0
155,46500,498,1970,2,76,474680,6,0,0,0,0,0,69,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,26996,0,0,0
156,46800,454,1777,3,75,391586,5,0,0,0,0,0,69,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,22386,0,0,0
157,47100,513,2120,2,115,623258,9,37,2,37,2,0,69,2,253,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,153444,1,69958,132,23592,0,0,14733
158,47400,476,1755,3,71,390307,6,0,0,0,0,0,69,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,23890,0,0,0
159,47700,468,1721,2,68,308300,5,0,0,0,0,0,69,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,24558,0,0,0
160,48000,397,1560,2,66,363548,5,0,0,0,0,0,69,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,18428,0,0,0
